Dates, ACWI INDEX , SPX INDEX , NDX INDEX , MXEF INDEX , DAX INDEX , SXXE INDEX , UKX INDEX , TPX INDEX , ILS Curncy , EUR  Curncy , GBP Curncy , JPY Curncy ,,,,,,,
24/03/2021, -1.13 , -0.76 , -0.53 , -0.94 , -0.36 , 0.01 , -0.15 , -2.18 , -0.11 , -0.19 , -0.25 , 0.14 ,,,,,,,
23/03/2021, -1.13 , -0.76 , -0.53 , -0.94 , 0.03 , -0.13 , -0.40 , -0.94 , 0.08 , -0.70 , -0.81 , -0.24 ,,,,,,,
22/03/2021, 0.51 , 0.70 , 1.71 , -0.04 , 0.25 , -0.06 , 0.26 , -1.09 , -0.07 , 0.24 , -0.06 , -0.03 ,,,,,,,
19/03/2021, 0.07 , -0.06 , 0.61 , -0.78 , -1.05 , -0.77 , -1.05 , 0.18 , 0.18 , -0.09 , -0.38 , -0.01 ,,,,,,,
18/03/2021, -1.34 , -1.48 , -3.13 , 0.34 , 1.23 , 0.44 , 0.25 , 1.23 , 0.33 , -0.53 , -0.29 , 0.05 ,,,,,,,
17/03/2021, 0.29 , 0.29 , 0.38 , -0.46 , 0.27 , -0.14 , -0.60 , 0.13 , -0.23 , 0.64 , 0.54 , -0.15 ,,,,,,,
16/03/2021, -0.01 , -0.16 , 0.53 , 0.66 , 0.66 , 0.53 , 0.80 , 0.65 , -0.51 , -0.22 , -0.06 , -0.12 ,,,,,,,
15/03/2021, 0.54 , 0.65 , 1.12 , -0.59 , -0.28 , -0.04 , -0.17 , 0.91 , -0.48 , -0.20 , -0.17 , 0.09 ,,,,,,,
12/03/2021, -0.19 , 0.10 , -0.89 , -0.69 , -0.46 , -0.23 , 0.36 , 1.36 , 0.57 , -0.28 , -0.48 , 0.48 ,,,,,,,
11/03/2021, 1.30 , 1.04 , 2.36 , 2.47 , 0.20 , 0.70 , 0.17 , 0.27 , -0.41 , 0.48 , 0.42 , 0.12 ,,,,,,,
10/03/2021, 0.45 , 0.60 , -0.33 , 0.53 , 0.71 , 0.63 , -0.07 , 0.11 , -0.30 , 0.24 , 0.29 , -0.09 ,,,,,,,
09/03/2021, 1.70 , 1.42 , 4.03 , 0.74 , 0.40 , 0.63 , 0.17 , 1.27 , -0.55 , 0.46 , 0.49 , -0.38 ,,,,,,,
08/03/2021, -0.88 , -0.54 , -2.92 , -2.33 , 3.31 , 2.35 , 1.34 , -0.14 , 0.53 , -0.57 , -0.12 , 0.54 ,,,,,,,
05/03/2021, 1.41 , 1.95 , 1.64 , -0.52 , -0.97 , -0.91 , -0.31 , 0.61 , 0.32 , -0.45 , -0.39 , 0.31 ,,,,,,,
04/03/2021, -1.43 , -1.34 , -1.73 , -2.30 , -0.17 , -0.31 , -0.37 , -1.04 , 0.21 , -0.78 , -0.42 , 0.91 ,,,,,,,
03/03/2021, -1.10 , -1.31 , -2.88 , 1.35 , 0.29 , 0.03 , 0.93 , 0.51 , 0.42 , -0.23 , -0.01 , 0.30 ,,,,,,,
02/03/2021, -0.64 , -0.81 , -1.68 , -0.21 , 0.19 , -0.03 , 0.38 , -0.40 , -0.05 , 0.35 , 0.22 , -0.07 ,,,,,,,
01/03/2021, 2.30 , 2.38 , 2.89 , 1.73 , 1.64 , 1.74 , 1.62 , 2.04 , -0.31 , -0.22 , -0.06 , 0.18 ,,,,,,,
26/02/2021, -0.89 , -0.48 , 0.63 , -3.22 , -0.67 , -1.25 , -2.53 , -3.21 , 0.41 , -0.82 , -0.59 , 0.34 ,,,,,,,
25/02/2021, -2.21 , -2.45 , -3.56 , 0.51 , -0.69 , -0.25 , -0.11 , 1.22 , 1.00 , 0.07 , -0.89 , 0.32 ,,,,,,,
24/02/2021, 0.57 , 1.14 , 0.81 , -1.53 , 0.80 , 0.38 , 0.50 , -1.82 , -0.19 , 0.13 , 0.20 , 0.59 ,,,,,,,
23/02/2021, 0.07 , 0.13 , -0.22 , 0.04 , -0.61 , -0.36 , 0.21 , 0.49 , 0.06 , -0.06 , 0.36 , 0.16 ,,,,,,,
22/02/2021, -1.03 , -0.77 , -2.63 , -2.26 , -0.31 , -0.52 , -0.18 , 0.49 , -0.19 , 0.31 , 0.34 , -0.35 ,,,,,,,
19/02/2021, 0.18 , -0.19 , -0.42 , 0.34 , 0.77 , 0.85 , 0.10 , -0.67 , 0.09 , 0.22 , 0.29 , -0.23 ,,,,,,,
18/02/2021, -0.70 , -0.44 , -0.45 , -1.37 , -0.16 , -0.69 , -1.40 , -1.00 , 0.20 , 0.45 , 0.85 , -0.17 ,,,,,,,
17/02/2021, -0.20 , -0.03 , -0.54 , 0.19 , -1.10 , -0.80 , -0.56 , -0.18 , 0.74 , -0.56 , -0.33 , -0.16 ,,,,,,,
16/02/2021, 0.19 , -0.06 , -0.25 , 0.31 , -0.32 , -0.13 , -0.11 , 0.57 , -0.14 , -0.19 , -   , 0.63 ,,,,,,,
15/02/2021, 0.48 , 0.47 , 0.53 , 0.62 , 0.42 , 0.93 , 2.52 , 1.04 , -0.26 , 0.07 , 0.39 , 0.42 ,,,,,,,
12/02/2021, 0.48 , 0.47 , 0.53 , 0.07 , 0.06 , 0.50 , 0.94 , 0.16 , 0.04 , -0.08 , 0.24 , 0.18 ,,,,,,,
11/02/2021, 0.49 , 0.17 , 0.58 , 0.35 , 0.77 , 0.56 , 0.07 , 0.27 , -0.30 , 0.10 , -0.13 , 0.15 ,,,,,,,
10/02/2021, 0.02 , -0.03 , -0.23 , 0.98 , -0.56 , -0.33 , -0.11 , 0.27 , 0.31 , -0.01 , 0.12 , -   ,,,,,,,
09/02/2021, 0.20 , -0.11 , -0.06 , 0.67 , -0.34 , -0.25 , 0.12 , 0.08 , -0.12 , 0.57 , 0.55 , -0.61 ,,,,,,,
08/02/2021, 0.75 , 0.74 , 0.67 , 0.32 , 0.02 , 0.33 , 0.53 , 1.75 , -1.04 , 0.03 , 0.04 , -0.15 ,,,,,,,
05/02/2021, 0.57 , 0.39 , 0.32 , 0.56 , -0.03 , 0.36 , -0.22 , 1.38 , 0.09 , 0.69 , 0.46 , -0.14 ,,,,,,,
04/02/2021, 0.69 , 1.09 , 1.18 , -0.36 , 0.91 , 0.78 , -0.06 , -0.32 , -0.34 , -0.60 , 0.18 , 0.49 ,,,,,,,
03/02/2021, 0.17 , 0.10 , -0.40 , 0.83 , 0.71 , 0.54 , -0.14 , 1.30 , -0.21 , -0.07 , -0.15 , 0.05 ,,,,,,,
02/02/2021, 1.27 , 1.39 , 1.56 , 1.48 , 1.56 , 1.54 , 0.78 , 0.94 , 0.29 , -0.13 , 0.04 , 0.05 ,,,,,,,
01/02/2021, 1.70 , 1.61 , 2.50 , 2.37 , 1.41 , 1.33 , 0.92 , 1.16 , 0.31 , -0.63 , -0.33 , 0.24 ,,,,,,,
29/01/2021, -1.96 , -1.93 , -2.09 , -1.56 , -1.71 , -1.74 , -1.82 , -1.64 , 0.03 , 0.12 , -0.09 , 0.42 ,,,,,,,
28/01/2021, 0.84 , 0.98 , 0.68 , -1.52 , 0.33 , 0.57 , -0.63 , -1.14 , 0.46 , 0.09 , 0.25 , 0.12 ,,,,,,,
27/01/2021, -2.46 , -2.57 , -2.80 , -1.25 , -1.81 , -1.45 , -1.30 , 0.65 , 0.09 , -0.40 , -0.36 , 0.47 ,,,,,,,
26/01/2021, -0.31 , -0.15 , 0.05 , -1.52 , 1.66 , 0.90 , 0.23 , -0.75 , -0.27 , 0.17 , 0.45 , -0.13 ,,,,,,,
25/01/2021, 0.33 , 0.36 , 0.87 , 1.25 , -1.66 , -1.34 , -0.84 , 0.29 , 0.08 , -0.26 , -0.08 , -0.03 ,,,,,,,
22/01/2021, -0.47 , -0.30 , -0.29 , -0.94 , -0.24 , -0.61 , -0.30 , -0.21 , -0.08 , 0.06 , -0.34 , 0.27 ,,,,,,,
21/01/2021, 0.02 , 0.03 , 0.82 , 0.36 , -0.11 , -0.07 , -0.37 , 0.60 , 0.29 , 0.48 , 0.58 , -0.04 ,,,,,,,
20/01/2021, 1.25 , 1.39 , 2.31 , 1.42 , 0.77 , 0.76 , 0.41 , -0.34 , 0.25 , -0.19 , 0.18 , -0.35 ,,,,,,,
19/01/2021, 0.93 , 0.81 , 1.50 , 1.64 , -0.24 , -0.21 , -0.11 , 0.56 , 0.77 , 0.43 , 0.32 , 0.20 ,,,,,,,
18/01/2021, -1.05 , -0.72 , -0.73 , 0.07 , 0.44 , 0.23 , -0.22 , -0.60 , -1.04 , -0.04 , -0.02 , -0.15 ,,,,,,,
15/01/2021, -1.05 , -0.72 , -0.73 , -0.93 , -1.44 , -1.22 , -0.97 , -0.89 , 2.51 , -0.60 , -0.72 , 0.05 ,,,,,,,
14/01/2021, 0.15 , -0.38 , -0.58 , 0.49 , 0.35 , 0.57 , 0.84 , 0.48 , 1.94 , -0.02 , 0.37 , -0.09 ,,,,,,,
13/01/2021, 0.06 , 0.23 , 0.63 , 0.78 , 0.11 , 0.20 , -0.13 , 0.35 , -0.76 , -0.41 , -0.18 , 0.13 ,,,,,,,
12/01/2021, 0.36 , 0.04 , -0.08 , 0.29 , -0.08 , -0.06 , -0.65 , 0.16 , -0.73 , 0.46 , 1.08 , -0.48 ,,,,,,,
11/01/2021, -0.88 , -0.66 , -1.55 , -0.29 , -0.80 , -0.73 , -1.09 , 1.57 , -0.49 , -0.55 , -0.37 , 0.31 ,,,,,,,
08/01/2021, 0.89 , 0.55 , 1.28 , 2.36 , 0.58 , 0.65 , 0.24 , 1.57 , 0.28 , -0.44 , -   , 0.13 ,,,,,,,
07/01/2021, 1.05 , 1.48 , 2.51 , 0.53 , 0.55 , 0.51 , 0.22 , 1.68 , 0.02 , -0.45 , -0.29 , 0.75 ,,,,,,,
06/01/2021, 0.56 , 0.57 , -1.40 , -0.35 , 1.76 , 1.41 , 3.47 , 0.28 , -0.71 , 0.24 , -0.14 , 0.31 ,,,,,,,
05/01/2021, 1.03 , 0.71 , 0.85 , 1.19 , -0.55 , -0.39 , 0.61 , -0.19 , -0.33 , 0.41 , 0.41 , -0.40 ,,,,,,,
04/01/2021, -0.55 , -1.48 , -1.50 , 0.98 , 0.06 , 0.65 , 1.72 , -0.56 , -0.02 , 0.27 , -0.74 , -0.07 ,,,,,,,
01/01/2021, 0.07 , 0.64 , 0.33 , 0.04 , -0.31 , -0.51 , -1.45 , -0.80 , -0.02 , -0.01 , 0.01 , -0.05 ,,,,,,,
31/12/2020, 0.07 , 0.64 , 0.33 , 0.17 , -0.31 , -0.51 , -1.45 , -0.80 , -0.11 , -0.67 , 0.33 , 0.06 ,,,,,,,
30/12/2020, 0.33 , 0.13 , 0.01 , 1.76 , -0.31 , -0.28 , -0.71 , -0.80 , -0.05 , 0.40 , 0.90 , -0.38 ,,,,,,,
29/12/2020, 0.20 , -0.22 , 0.04 , 1.15 , -0.21 , 0.25 , 1.55 , 1.74 , -0.11 , 0.27 , 0.38 , -0.22 ,,,,,,,
28/12/2020, 0.66 , 0.87 , 1.01 , -0.23 , 1.49 , 0.92 , 0.10 , 0.54 , 0.00 , 0.19 , -0.80 , 0.37 ,,,,,,,
25/12/2020, 0.12 , 0.35 , 0.46 , 0.13 , 1.26 , 0.10 , 0.10 , 0.23 , 0.04 , 0.05 , 0.01 , -0.21 ,,,,,,,
24/12/2020, 0.12 , 0.35 , 0.46 , -0.36 , 1.26 , 0.10 , 0.10 , 0.51 , 0.13 , -   , 0.48 , 0.08 ,,,,,,,
23/12/2020, 0.47 , 0.07 , -0.51 , 0.75 , 1.26 , 1.08 , 0.66 , 0.23 , -0.50 , 0.20 , 0.99 , -0.07 ,,,,,,,
22/12/2020, -0.17 , -0.21 , 0.22 , -0.66 , 1.30 , 1.39 , 0.57 , -1.56 , -0.42 , -0.66 , -0.77 , 0.31 ,,,,,,,
21/12/2020, -0.63 , -0.39 , -0.38 , -0.89 , -2.82 , -2.43 , -1.73 , -0.23 , 0.25 , -0.11 , -0.44 , 0.02 ,,,,,,,
18/12/2020, -0.45 , -0.35 , -0.11 , -0.36 , -0.27 , -0.25 , -0.33 , 0.04 , -0.13 , -0.09 , -0.46 , 0.18 ,,,,,,,
17/12/2020, 0.71 , 0.58 , 0.66 , 0.72 , 0.75 , 0.38 , -0.30 , 0.32 , -0.28 , 0.56 , 0.56 , -0.35 ,,,,,,,
16/12/2020, 0.25 , 0.18 , 0.57 , 1.09 , 1.52 , 0.61 , 0.88 , 0.27 , -0.12 , 0.40 , 0.36 , -0.19 ,,,,,,,
15/12/2020, 1.27 , 1.29 , 1.07 , -0.02 , 1.06 , 0.49 , -0.28 , -0.47 , -0.14 , 0.06 , 1.02 , -0.37 ,,,,,,,
14/12/2020, -1.07 , -0.44 , 0.70 , -0.57 , 0.83 , 0.50 , -0.23 , 0.48 , 0.08 , 0.26 , 0.76 , 0.01 ,,,,,,,
11/12/2020, -0.26 , -0.13 , -0.21 , 0.21 , -1.36 , -0.88 , -0.80 , 0.33 , 0.08 , -0.21 , -0.53 , -0.19 ,,,,,,,
10/12/2020, 0.27 , -0.13 , 0.30 , -0.07 , -0.33 , -0.22 , 0.54 , -0.18 , -0.02 , 0.47 , -0.78 , 0.01 ,,,,,,,
09/12/2020, -0.70 , -0.79 , -2.15 , 0.13 , 0.47 , 0.06 , 0.08 , 1.17 , -0.08 , -0.19 , 0.33 , 0.07 ,,,,,,,
08/12/2020, 0.35 , 0.28 , 0.31 , 0.07 , 0.06 , -0.03 , 0.05 , -0.11 , 0.06 , -0.04 , -0.19 , 0.11 ,,,,,,,
07/12/2020, -0.23 , -0.19 , 0.54 , 0.19 , -0.21 , -0.28 , 0.08 , -0.86 , -0.37 , -0.10 , -0.45 , -0.12 ,,,,,,,
04/12/2020, 0.88 , 0.88 , 0.49 , 0.93 , 0.35 , 0.69 , 0.92 , 0.04 , 0.04 , -0.19 , -0.07 , 0.32 ,,,,,,,
